sku,shopify_collection,enriched_title,variant_1_name,variant_1_value,variant_2_name,variant_2_value,enrichment_comments
200-200-006,,N'SURE PLASTIC CUP LAVENDER,,,,,[INFERRED]
200-200-009,,N'SURE TRAY COVER YELLOW(1000),,,,,[INFERRED]
200-200-008,,N'SURE TRAY COVER GREEN (1000),,,,,[INFERRED]
200-200-007,,N'SURE PLASTIC CUP PINK (1000),,,,,[INFERRED]
200-120-004,,COTTON ROLL DISPENSER- WHITE,,,,,[INFERRED]
200-120-002,,COTTON ROLL DISP.PULL WHITE,,,,,[INFERRED]
200-120-003,,COTTON ROLL DISP.PUSH BIEGE,,,,,[INFERRED]
200-120-005,,SPONGE DISPENSER 2 X 2 MAUVE,,,,,[INFERRED]
200-200-023,,VIVID DURACUP 5oz. YELLOW (100,,,,,[INFERRED]
200-160-001,,EXODONTIA SPONGE (GUAZE),,,,,[INFERRED]
360-130-003,,HAND TOWEL (C FOLD),,,,,[INFERRED]
360-130-004,,HAND TOWEL DISPENSER,,,,,[INFERRED]
200-180-001,,MIXING PAD 3.5X4.5CM,,,,,[INFERRED]
200-180-003,,MIXING PAD 7X9.5CM,,,,,[INFERRED]
200-200-017,,TRAY COVERS - WHITE,,,,,[INFERRED]
200-200-013,,PLASTIC CUP DISPENSER,,,,,[INFERRED]
200-200-010,,N'SURE TRAY COVERS BLUE (1000),,,,,[INFERRED]
200-200-012,,N'SURE TRAY COVERS PINK (1000),,,,,[INFERRED]
200-200-011,,N'SURE TRAY COVERS LAVENDER,,,,,[INFERRED]
360-110-002,,CAN LINER - LARGE (YELLOW),,,,,[INFERRED]
200-200-002,,DISPOSABLE CUPS LIGHT BLUE (UN,,,,,[INFERRED]
200-200-003,,DISPOSABLE CUPS LILAC (UNODENT,,,,,[INFERRED]
360-110-004,,CAN LINER LARGE (RED),,,,,[INFERRED]
200-180-002,,MIXING PAD 7 X 8CM (100PK) H/S,,,,,[INFERRED]
460-120-002,,DALACIN C,,,,,[INFERRED]
460-110-002,,RELEV RAPID 550mg TABLETS,,,,,[INFERRED]
460-110-001,,CATAFLAM X 100 (BIG PACK),,,,,[INFERRED]
200-170-007,,SIZE 9,,,,,[INFERRED]
120-120-022,,SUNVILLE MEN'S PERFORATED SIZE,,,,,[INFERRED]
400-140-001,,BROCHURE STAND - CLEAR PLASTIC,,,,,[INFERRED]
400-120-001,,BROCHURE - DENTAL IMPLANTS-NEW,,,,,[INFERRED]
400-120-002,,BROCHURE - WHITENING NEW,,,,,[INFERRED]
400-120-004,,PATIENT TEASERS (25),,,,,[INFERRED]
400-120-003,,PATIENT BROCHURES,,,,,[INFERRED]
260-190-001,,AH PLUS,,,,,[INFERRED]
260-110-001,,Barbed Broaches Assorted,,,,,[INFERRED]
260-110-003,,Barbed Broaches Size 1 (XXXF) White,,,,,[INFERRED]
260-110-004,,Barbed Broaches Size 2 (XXF) Yellow,,,,,[INFERRED]
260-170-002,,CANAL LUBRICANT PIPETTES,,,,,[INFERRED]
100-150-002,,CURVED UTILITY SYRINGE,,,,,[INFERRED]
160-120-018,,ENDO - Z CARBIDE BUR (3PK),,,,,[MATCH]
260-140-001,,ENDO STOPS (ASSORTED),,,,,[INFERRED]
260-140-002,,ENDO STOPS (BLACK),,,,,[INFERRED]
260-140-003,,ENDO STOPS (BLUE),,,,,[INFERRED]
260-140-004,,ENDO STOPS (RED),,,,,[INFERRED]
260-140-005,,ENDO STOPS (WHITE),,,,,[INFERRED]
260-120-001,,ENDODONTIC SYRINGES-MONOJECT,,,,,[INFERRED]
260-150-009,,GATES GLIDDEN DRILLS(1-6) 32MM,,,,,[INFERRED]
260-150-036,,K-TYPE HAND FILES PD - #20,,,,,[INFERRED]
260-150-037,,K-TYPE HAND FILES PD - #25,,,,,[INFERRED]
260-150-038,,K-TYPE HAND FILES PD - #30,,,,,[INFERRED]
260-150-039,,K-TYPE HAND FILES PD - #35,,,,,[INFERRED]
260-210-002,,LATERAL SPREADER #25,,,,,[INFERRED]
260-210-004,,LATERAL SPREADER #30,,,,,[INFERRED]
540-120-002,,LENTULOSPIRAL #1-4 25MM,,,,,[INFERRED]
540-120-001,,LENTULOSPIRAL #1 25MM,,,,,[INFERRED]
540-120-003,,LENTULOSPIRAL #2 25MM,,,,,[INFERRED]
540-120-004,,LENTULOSPIRAL #3 25MM,,,,,[INFERRED]
540-120-005,,LENTULOSPIRAL #4 25MM,,,,,[INFERRED]
260-180-001,,PAPER POINT SIZE 20,,,,,[INFERRED]
260-180-002,,PAPER POINT SIZE 25,,,,,[INFERRED]
260-180-003,,PAPER POINT SIZE 30,,,,,[INFERRED]
260-180-004,,PAPER POINT SIZE 35,,,,,[INFERRED]
260-180-005,,PAPER POINT SIZE 40,,,,,[INFERRED]
540-130-001,,PASTE FILLERS RA 25MM #30,,,,,[INFERRED]
540-130-002,,PASTE FILLERS RA 25MM #35,,,,,[INFERRED]
540-140-001,,PEESO REAMERS SIZE1- DENTSPLY,,,,,[INFERRED]
540-140-002,,PEESO REAMERS SIZE2- DENTSPLY,,,,,[INFERRED]
540-140-003,,PEESO REAMERS SIZE3-DENTSPLY,,,,,[INFERRED]
540-140-004,,PEESO REAMERS SIZE4 -PD,,,,,[INFERRED]
540-140-005,,PEESO REAMERS SIZE5 -PD,,,,,[INFERRED]
540-140-006,,PEESO REAMERS SIZE6 -PD,,,,,[INFERRED]
260-150-035,,K-FLEX FILES 40-70-25MM,,,,,[INFERRED]
260-180-006,,PAPER POINT SIZE 45-80,,,,,[INFERRED]
260-110-002,,Barbed Broaches Size 0 (XXXXF) Purple,,,,,[INFERRED]
260-110-005,,Barbed Broaches Size 3 (XF) Red,,,,,[INFERRED]
260-110-006,,Barbed Broaches Size 4 (F) Blue,,,,,[INFERRED]
260-110-007,,Barbed Broaches Size 5 (M) Green,,,,,[INFERRED]
260-110-008,,Barbed Broaches Size 6 (ST) Black,,,,,[INFERRED]
260-150-043,,SPIRO COLORINOX SIZE 035 21MM,,,,,[INFERRED]
260-150-006,,GATES GLIDDEN DRILLS NO.4,,,,,[INFERRED]
260-150-008,,GATES GLIDDEN DRILLS NO.5,,,,,[INFERRED]
160-120-019,,ENDO - Z CARBIDE BUR (5PK),,,,,[MATCH]
340-140-002,,RULER ENDODONTIC (6170),,,,,[INFERRED]
260-160-004,,GUTTA PERCHA POINTS COLOR 15,,,,,[INFERRED]
260-160-005,,GUTTA PERCHA POINTS COLOR 20,,,,,[INFERRED]
260-160-006,,GUTTA PERCHA POINTS COLOR 25,,,,,[INFERRED]
260-160-003,,GUTTA PERCHA POINT COLOR 45-80,,,,,[INFERRED]
260-160-001,,GUTTA PERCHA POINT COLOR 30,,,,,[INFERRED]
260-160-002,,GUTTA PERCHA POINT COLOR 40,,,,,[INFERRED]
260-160-007,,GUTTA PERCHA POINTS COLOR 35,,,,,[INFERRED]
260-150-014,,HYFLEX  X-FILES #20,,,,,[INFERRED]
260-150-017,,HYFLEX  X-FILES #25,,,,,[INFERRED]
260-150-020,,HYFLEX  X-FILES #30,,,,,[INFERRED]
260-150-022,,HYFLEX  X-FILES #35,,,,,[INFERRED]
260-150-024,,HYFLEX  X-FILES #40,,,,,[INFERRED]
260-150-011,,HYFL. X FILE 25MM SIZE 25,,,,,[INFERRED]
260-150-019,,K-FILE READYSTEEL 25MM 006,,,,,[INFERRED]
260-150-023,,K-FILE READYSTEEL 25MM 010,,,,,[INFERRED]
260-150-021,,K-FILE READYSTEEL 25MM 008,,,,,[INFERRED]
260-150-025,,K-FILE READYSTEEL 25MM 015,,,,,[INFERRED]
260-150-026,,K-FILE READYSTEEL 25MM 020,,,,,[INFERRED]
260-150-028,,K-FILE READYSTEEL 25MM 030,,,,,[INFERRED]
260-150-029,,K-FILE READYSTEEL 25MM 035,,,,,[INFERRED]
260-150-033,,K-FILE READYSTEEL 31MM 15-40,,,,,[INFERRED]
260-150-034,,K-FILE READYSTEEL 31MM 45-80,,,,,[INFERRED]
260-150-027,,K-FILE READYSTEEL 25MM 025,,,,,[INFERRED]
260-150-031,,K-FILE READYSTEEL 25MM 40,,,,,[INFERRED]
260-150-013,,K-FILE READYSTEEL 21MM 15-40,,,,,[INFERRED]
260-150-015,,K-FILE READYSTEEL 21MM 45-80,,,,,[INFERRED]
260-150-032,,K-FILE READYSTEEL 25MM 45-80,,,,,[INFERRED]
260-150-030,,K-FILE READYSTEEL 25MM 15-40,,,,,[INFERRED]
540-110-001,,PROTAPER H-U 19MM/SX,,,,,[INFERRED]
540-110-003,,PROTAPER H-U 21MM/S1,,,,,[INFERRED]
540-110-004,,PROTAPER H-U 21MM/S2,,,,,[INFERRED]
540-110-007,,PROTAPER H-U 25MM/S1,,,,,[INFERRED]
540-110-008,,PROTAPER H-U 25MM/S2,,,,,[INFERRED]
540-110-002,,PROTAPER H-U 21MM/F1,,,,,[INFERRED]
540-110-005,,PROTAPER H-U 25MM/F1,,,,,[INFERRED]
540-110-006,,PROTAPER H-U 25MM/F2,,,,,[INFERRED]
260-150-040,,PTN ASS. X1-X3 3FILES 25MM,,,,,[INFERRED]
260-160-008,,GUTTA-PERCHA PROTAPER F1,,,,,[INFERRED]
260-160-009,,GUTTA-PERCHA PROTAPER F2,,,,,[INFERRED]
260-160-010,,GUTTA-PERCHA PROTAPER F3,,,,,[INFERRED]
